airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8085
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,No Info,14781
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,17024
Spicejet,2019-06-09,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Spicejet,2019-03-21,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3384
Multiple Carriers,2019-06-03,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,10972
Air Asia,2019-04-01,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Jet Airways,2019-05-12,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,12557
Multiple Carriers,2019-06-12,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,12192
Air India,2019-05-18,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Indigo,2019-06-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Indigo,2019-03-06,Delhi,Cochin,14:20:00,22:20:00,480,1.0,No Info,7451
Jet Airways,2019-05-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,11399
Air Asia,2019-05-15,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,5192
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,13364
Multiple Carriers,2019-06-01,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7408
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,13843
Indigo,2019-06-01,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6674
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,No Info,12681
Multiple Carriers,2019-05-21,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9315
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Air India,2019-06-09,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,12744
Indigo,2019-04-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Indigo,2019-06-06,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Indigo,2019-05-27,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6769
Jet Airways,2019-05-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Indigo,2019-06-27,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Multiple Carriers,2019-03-21,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13062
Air India,2019-05-27,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10493
Multiple Carriers,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,13542
Air India,2019-05-15,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Air India,2019-03-03,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No Info,7591
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13731
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Spicejet,2019-05-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,4319
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,21:20:00,485,2.0,No Info,11560
Indigo,2019-06-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,11622
Indigo,2019-03-09,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No Info,10067
Air India,2019-03-24,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4405
Indigo,2019-03-09,Banglore,New Delhi,13:10:00,16:10:00,180,0.0,No Info,8033
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,1830,2.0,No Info,12835
Goair,2019-06-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Jet Airways,2019-06-24,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,12819
Spicejet,2019-06-18,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-27,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,12898
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Jet Airways,2019-06-15,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Air India,2019-03-12,Banglore,New Delhi,06:45:00,18:05:00,2120,3.0,No Info,13387
Indigo,2019-05-03,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Air India,2019-04-01,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,10408
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13014
Indigo,2019-05-21,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,7189
Jet Airways,2019-06-01,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No Info,13250
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Indigo,2019-04-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-03-24,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,7295
Air India,2019-05-09,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,10991
Multiple Carriers,2019-03-09,Delhi,Cochin,08:40:00,19:45:00,665,1.0,No Info,18492
Jet Airways,2019-03-21,Delhi,Cochin,09:40:00,18:50:00,550,2.0,No Info,11702
Air Asia,2019-03-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3782
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,9663
Air India,2019-05-18,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,07:40:00,885,1.0,No Info,13817
Indigo,2019-06-24,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6442
Air India,2019-05-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,10975
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,In-flight meal not included,7832
Jet Airways,2019-06-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Indigo,2019-06-15,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Spicejet,2019-06-27,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-03-09,Banglore,New Delhi,09:45:00,00:30:00,885,1.0,In-flight meal not included,10562
Jet Airways,2019-06-24,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,10262
Air India,2019-03-21,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4491
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14178
Air India,2019-05-21,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,8372
Indigo,2019-04-03,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-09,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7408
Jet Airways,2019-03-21,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,No Info,11543
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,No Info,14714
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13941
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,13626
Air India,2019-03-12,Mumbai,Hyderabad,01:35:00,14:50:00,795,2.0,No Info,9977
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,13067
Indigo,2019-05-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Jet Airways,2019-06-24,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,12410
Indigo,2019-06-15,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Indigo,2019-06-12,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5058
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,13:20:00,780,1.0,No Info,29528
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Indigo,2019-06-24,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Jet Airways,2019-05-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Spicejet,2019-06-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Air India,2019-03-06,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,13748
Indigo,2019-04-03,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5073
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,14178
Jet Airways,2019-06-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Indigo,2019-06-15,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6442
Jet Airways,2019-05-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-03-12,Mumbai,Hyderabad,06:30:00,16:35:00,605,2.0,No Info,23528
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,8452
Indigo,2019-06-18,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air India,2019-05-27,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No Info,8372
Indigo,2019-04-09,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Indigo,2019-05-24,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2437
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6144
Multiple Carriers,2019-05-18,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,9627
Air India,2019-06-12,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,12898
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,12373
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14781
Indigo,2019-04-03,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Spicejet,2019-04-24,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4859
Indigo,2019-04-12,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4990
Air India,2019-05-21,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,13538
Air India,2019-06-06,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10697
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,22:55:00,920,1.0,No Info,6785
Air Asia,2019-05-15,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12717
Indigo,2019-03-09,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6885
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14781
Jet Airways,2019-03-24,Banglore,New Delhi,02:00:00,04:45:00,165,0.0,No Info,7229
Indigo,2019-04-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4174
Jet Airways,2019-04-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5198
Indigo,2019-03-21,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,7708
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,7064
Goair,2019-04-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5752
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,9663
Indigo,2019-05-03,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1.0,No Info,11038
Jet Airways,2019-06-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Indigo,2019-03-21,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6287
Indigo,2019-03-06,Delhi,Cochin,08:35:00,22:20:00,825,1.0,No Info,7514
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3332
Spicejet,2019-05-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3911
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,19:10:00,615,1.0,No Info,13555
Jet Airways,2019-03-09,Delhi,Cochin,16:00:00,18:50:00,1610,1.0,In-flight meal not included,14053
Indigo,2019-06-27,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Multiple Carriers,2019-03-06,Delhi,Cochin,04:45:00,18:50:00,845,1.0,No Info,13875
Jet Airways,2019-03-27,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,8040
Indigo,2019-03-03,Delhi,Cochin,09:55:00,15:10:00,315,1.0,No Info,12214
Multiple Carriers ,2019-03-21,Delhi,Cochin,08:55:00,21:00:00,725,1.0,No Info,9845
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No Info,27992
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,12242
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Spicejet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No Info,14714
Indigo,2019-06-21,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Air India,2019-05-09,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13591
Multiple Carriers,2019-06-15,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Indigo,2019-03-15,Banglore,New Delhi,05:25:00,10:10:00,285,1.0,No Info,8021
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Vistara,2019-06-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Multiple Carriers,2019-05-27,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Air India,2019-05-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,1 Long layover,22270
Indigo,2019-03-03,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6860
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,8586
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Spicejet,2019-03-21,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,3847
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,13:20:00,560,1.0,No Info,14973
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,19:10:00,1220,1.0,No Info,25735
Multiple Carriers,2019-05-15,Delhi,Cochin,15:15:00,01:30:00,615,1.0,No Info,7670
Air India,2019-06-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Multiple Carriers,2019-06-15,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Multiple Carriers,2019-03-03,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,15288
Air India,2019-06-01,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-05-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Indigo,2019-06-03,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6093
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Indigo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,14871
Jet Airways,2019-03-09,Delhi,Cochin,15:05:00,18:50:00,1665,1.0,No Info,16289
Spicejet,2019-05-09,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:25:00,2315,2.0,No Info,25430
Indigo,2019-05-24,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3858
Air India,2019-06-27,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12646
Spicejet,2019-05-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13014
Indigo,2019-03-12,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4049
Air Asia,2019-05-24,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4107
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11432
Spicejet,2019-05-24,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6643
Indigo,2019-05-06,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No Info,4864
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11774
Air India,2019-03-06,Mumbai,Hyderabad,12:45:00,19:25:00,1840,2.0,No Info,13253
Jet Airways,2019-05-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Indigo,2019-06-24,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,6838
Indigo,2019-06-24,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Vistara,2019-05-24,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Air India,2019-06-03,Delhi,Cochin,07:10:00,07:40:00,1470,2.0,No Info,12698
Air Asia,2019-06-15,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air Asia,2019-05-15,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Indigo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6171
Spicejet,2019-03-21,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,4839
Multiple Carriers,2019-06-12,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Air India,2019-06-21,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-04-01,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,5406
Spicejet,2019-06-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-03-18,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Vistara,2019-03-09,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,7240
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-06-09,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,8016
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,09:30:00,635,1.0,No Info,13817
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,14151
Indigo,2019-06-24,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,11:25:00,1425,1.0,In-flight meal not included,7832
Air India,2019-03-27,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No Info,8875
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Indigo,2019-06-24,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Indigo,2019-05-15,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10123
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,No Info,19225
Jet Airways,2019-03-21,Mumbai,Hyderabad,03:05:00,04:25:00,80,0.0,No Info,5678
Spicejet,2019-04-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,12692
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9345
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
Indigo,2019-04-01,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6284
Indigo,2019-06-01,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Indigo,2019-04-01,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Indigo,2019-03-06,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,7682
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,8452
Multiple Carriers,2019-06-15,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,13502
Goair,2019-04-03,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4239
Air India,2019-04-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Air India,2019-06-12,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No Info,12723
Jet Airways,2019-06-01,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Indigo,2019-06-27,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6412
Spicejet,2019-05-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-05-01,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
